"Non-resident travellers entering Canada, by country of residence (excluding the United States)" 1 2
"Monthly"
"Table: 24-10-0003-01 (formerly CANSIM 427-0003)"
"Geography: Canada, Province or territory"

"","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Country of residence","January 1972","February 1972","March 1972","April 1972","May 1972","June 1972","July 1972","August 1972","September 1972","October 1972","November 1972","December 1972","January 1973","February 1973","March 1973","April 1973","May 1973","June 1973","July 1973","August 1973","September 1973","October 1973","November 1973","December 1973","January 1974","February 1974","March 1974","April 1974","May 1974","June 1974","July 1974","August 1974","September 1974","October 1974","November 1974","December 1974","January 1975","February 1975","March 1975","April 1975","May 1975","June 1975","July 1975","August 1975","September 1975","October 1975","November 1975","December 1975","January 1976","February 1976","March 1976","April 1976","May 1976","June 1976","July 1976","August 1976","September 1976","October 1976","November 1976","December 1976","January 1977","February 1977","March 1977","April 1977","May 1977","June 1977","July 1977","August 1977","September 1977","October 1977","November 1977","December 1977","January 1978","February 1978","March 1978","April 1978","May 1978","June 1978","July 1978","August 1978","September 1978","October 1978","November 1978","December 1978","January 1979","February 1979","March 1979","April 1979","May 1979","June 1979","July 1979","August 1979","September 1979","October 1979","November 1979","December 1979","January 1980","February 1980","March 1980","April 1980","May 1980","June 1980","July 1980","August 1980","September 1980","October 1980","November 1980","December 1980","January 1981","February 1981","March 1981","April 1981","May 1981","June 1981","July 1981","August 1981","September 1981","October 1981","November 1981","December 1981","January 1982","February 1982","March 1982","April 1982","May 1982","June 1982","July 1982","August 1982","September 1982","October 1982","November 1982","December 1982","January 1983","February 1983","March 1983","April 1983","May 1983","June 1983","July 1983","August 1983","September 1983","October 1983","November 1983","December 1983","January 1984","February 1984","March 1984","April 1984","May 1984","June 1984","July 1984","August 1984","September 1984","October 1984","November 1984","December 1984","January 1985","February 1985","March 1985","April 1985","May 1985","June 1985","July 1985","August 1985","September 1985","October 1985","November 1985","December 1985","January 1986","February 1986","March 1986","April 1986","May 1986","June 1986","July 1986","August 1986","September 1986","October 1986","November 1986","December 1986","January 1987","February 1987","March 1987","April 1987","May 1987","June 1987","July 1987","August 1987","September 1987","October 1987","November 1987","December 1987","January 1988","February 1988","March 1988","April 1988","May 1988","June 1988","July 1988","August 1988","September 1988","October 1988","November 1988","December 1988","January 1989","February 1989","March 1989","April 1989","May 1989","June 1989","July 1989","August 1989","September 1989","October 1989","November 1989","December 1989","January 1990","February 1990","March 1990","April 1990","May 1990","June 1990","July 1990","August 1990","September 1990","October 1990","November 1990","December 1990","January 1991","February 1991","March 1991","April 1991","May 1991","June 1991","July 1991","August 1991","September 1991","October 1991","November 1991","December 1991","January 1992","February 1992","March 1992","April 1992","May 1992","June 1992","July 1992","August 1992","September 1992","October 1992","November 1992","December 1992","January 1993","February 1993","March 1993","April 1993","May 1993","June 1993","July 1993","August 1993","September 1993","October 1993","November 1993","December 1993","January 1994","February 1994","March 1994","April 1994","May 1994","June 1994","July 1994","August 1994","September 1994","October 1994","November 1994","December 1994","January 1995","February 1995","March 1995","April 1995","May 1995","June 1995","July 1995","August 1995","September 1995","October 1995","November 1995","December 1995","January 1996","February 1996","March 1996","April 1996","May 1996","June 1996","July 1996","August 1996","September 1996","October 1996","November 1996","December 1996","January 1997","February 1997","March 1997","April 1997","May 1997","June 1997","July 1997","August 1997","September 1997","October 1997","November 1997","December 1997","January 1998","February 1998","March 1998","April 1998","May 1998","June 1998","July 1998","August 1998","September 1998","October 1998","November 1998","December 1998","January 1999","February 1999","March 1999","April 1999","May 1999","June 1999","July 1999","August 1999","September 1999","October 1999","November 1999","December 1999","January 2000","February 2000","March 2000","April 2000","May 2000","June 2000","July 2000","August 2000","September 2000","October 2000","November 2000","December 2000","January 2001","February 2001","March 2001","April 2001","May 2001","June 2001","July 2001","August 2001","September 2001","October 2001","November 2001","December 2001","January 2002","February 2002","March 2002","April 2002","May 2002","June 2002","July 2002","August 2002","September 2002","October 2002","November 2002","December 2002","January 2003","February 2003","March 2003","April 2003","May 2003","June 2003","July 2003","August 2003","September 2003","October 2003","November 2003","December 2003","January 2004","February 2004","March 2004","April 2004","May 2004","June 2004","July 2004","August 2004","September 2004","October 2004","November 2004","December 2004","January 2005","February 2005","March 2005","April 2005","May 2005","June 2005","July 2005","August 2005","September 2005","October 2005","November 2005","December 2005","January 2006","February 2006","March 2006","April 2006","May 2006","June 2006","July 2006","August 2006","September 2006","October 2006","November 2006","December 2006","January 2007","February 2007","March 2007","April 2007","May 2007","June 2007","July 2007","August 2007","September 2007","October 2007","November 2007","December 2007","January 2008","February 2008","March 2008","April 2008","May 2008","June 2008","July 2008","August 2008","September 2008","October 2008","November 2008","December 2008","January 2009","February 2009","March 2009","April 2009","May 2009","June 2009","July 2009","August 2009","September 2009","October 2009","November 2009","December 2009","January 2010","February 2010","March 2010","April 2010","May 2010","June 2010","July 2010","August 2010","September 2010","October 2010","November 2010","December 2010","January 2011","February 2011","March 2011","April 2011","May 2011","June 2011","July 2011","August 2011","September 2011","October 2011","November 2011","December 2011","January 2012","February 2012","March 2012","April 2012","May 2012","June 2012","July 2012","August 2012","September 2012","October 2012","November 2012","December 2012","January 2013","February 2013","March 2013","April 2013","May 2013","June 2013","July 2013","August 2013","September 2013","October 2013","November 2013","December 2013","January 2014","February 2014","March 2014","April 2014","May 2014","June 2014","July 2014","August 2014","September 2014","October 2014","November 2014","December 2014","January 2015","February 2015","March 2015","April 2015","May 2015","June 2015","July 2015","August 2015","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019"
"","Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total non-resident travellers, countries other than the United States","18,907","21,182","31,117","42,646","80,735","116,330","169,687","151,084","106,516","75,873","41,945","46,166","27,273","27,818","36,960","64,600","91,698","140,282","212,089","179,051","123,748","90,865","52,608","57,852","33,233","30,070","45,339","68,636","101,613","158,022","224,225","202,349","143,677","96,773","52,812","62,507","38,558","34,985","56,185","62,220","117,958","185,232","239,274","229,423","139,435","102,874","53,392","68,020","39,561","35,920","50,609","76,863","131,831","209,780","365,382","264,981","172,060","106,968","53,502","69,873","39,676","34,161","51,481","75,247","126,154","202,633","269,022","236,031","162,143","105,043","54,514","68,579","40,238","36,236","58,619","78,090","145,708","231,244","327,948","296,917","195,183","120,152","64,649","78,679","42,811","41,311","61,410","106,922","182,173","283,223","398,975","361,134","237,568","137,701","71,202","86,202","49,248","57,984","73,684","107,049","205,824","298,136","413,503","397,439","244,382","139,814","78,911","97,039","56,615","53,091","71,836","119,900","210,212","297,174","416,989","371,026","233,388","139,754","79,063","95,684","57,728","47,278","69,517","109,624","195,100","268,119","376,203","353,495","223,034","126,330","64,421","83,812","50,374","49,764","71,751","96,485","157,999","249,045","325,757","298,387","195,862","117,113","70,529","92,673","56,837","54,969","69,082","111,892","165,462","255,879","338,371","329,572","205,041","121,855","82,051","96,211","56,721","54,513","77,311","104,843","176,363","241,429","306,651","306,099","191,125","120,577","78,876","93,530","60,462","57,716","87,579","109,771","209,620","296,123","405,849","408,821","257,138","158,102","93,083","115,563","74,726","70,381","98,346","142,621","247,380","336,417","465,313","473,174","306,367","189,424","111,804","126,683","85,841","101,838","134,562","172,073","289,973","365,385","538,011","513,775","369,596","224,811","144,805","165,190","115,544","108,493","154,122","177,710","306,270","390,764","545,543","528,775","390,545","236,816","150,460","171,796","122,121","115,706","148,299","198,495","300,288","396,470","529,681","524,011","375,506","231,850","139,614","174,350","118,391","118,793","156,783","181,784","296,260","388,121","531,861","537,940","378,597","220,600","133,847","177,552","119,492","127,643","141,467","185,035","297,281","380,496","553,371","538,738","400,767","234,524","141,892","182,773","127,650","119,381","145,793","186,479","316,667","402,499","589,017","572,613","425,693","261,105","138,303","192,521","124,343","134,784","162,219","194,870","336,652","465,403","646,740","593,442","486,641","278,079","156,754","212,063","142,868","153,289","186,767","233,763","378,353","522,812","721,579","693,987","553,900","344,734","172,174","222,563","142,745","173,201","219,737","259,672","448,037","609,604","780,863","755,978","589,147","364,363","194,135","247,820","173,156","201,117","247,644","258,072","414,425","552,997","717,613","719,275","563,902","335,257","169,738","233,051","158,194","170,296","192,870","244,114","387,293","520,995","672,847","636,408","498,814","321,279","166,555","236,872","160,028","185,480","218,504","233,727","397,362","523,132","693,359","642,268","572,141","353,958","202,025","243,296","184,992","205,704","225,121","307,782","411,478","564,591","710,207","618,163","578,773","358,579","204,776","273,526","194,772","201,303","239,537","289,876","396,226","542,552","684,734","621,806","447,297","262,865","153,885","240,508","167,107","189,040","225,839","229,955","343,331","449,621","645,120","551,494","462,563","309,514","185,278","259,226","186,463","191,165","196,844","203,536","243,328","361,499","485,246","465,126","392,136","267,669","161,355","238,820","171,725","188,584","200,622","243,405","379,425","486,164","639,730","582,887","515,146","373,405","176,606","260,853","189,425","209,767","244,978","252,617","397,682","536,447","691,276","604,276","543,956","345,752","198,821","290,097","204,312","205,732","235,326","278,273","413,852","528,894","668,096","611,602","533,936","339,283","197,165","301,066","207,038","221,291","257,050","275,418","418,315","559,837","694,983","625,496","547,830","344,975","211,343","315,336","218,390","229,174","257,894","277,747","456,001","574,575","715,258","652,758","552,633","339,364","194,528","296,142","213,996","207,400","215,419","280,774","371,093","481,684","617,925","557,280","468,480","311,148","175,033","269,871","199,380","220,529","239,620","267,739","400,876","535,815","665,043","622,270","508,255","329,960","183,194","282,953","208,365","194,574","213,016","288,496","410,826","544,175","683,604","623,090","529,058","332,955","191,790","302,726","218,586","213,986","248,695","288,357","408,027","551,890","678,767","621,291","517,814","338,885","200,482","311,983","212,958","220,461","261,250","278,085","425,377","562,198","685,861","676,748","534,930","341,311","208,871","323,636","235,661","222,831","242,594","324,302","468,223","619,889","773,455","765,844","595,446","389,951","225,758","348,648","241,250","251,326","264,631","320,173","507,535","652,416","836,319","775,527","647,404","405,859","233,368","361,275","265,029","271,593","295,422","341,326","527,916","730,664","976,767","908,602","734,871","488,448","272,535","433,733","314,308","296,406","326,019","440,739","573,409","797,242","1,011,298","942,837","782,991","528,808","312,464","459,402","319,435","339,668","366,484","377,816","596,192","810,589","993,208","954,770","781,814","534,244","314,647","472,977","352,034","336,067","346,207","482,054","671,867","884,988","1,092,469","1,056,428","846,832","578,453","322,859"
"North America, Central America and Caribbean, total","2,047","1,950","2,939","3,355","4,922","6,325","11,122","13,084","10,077","6,194","3,775","4,689","2,502","2,267","3,262","5,297","6,239","7,179","14,975","15,188","10,694","5,732","3,926","5,542","3,043","2,766","4,103","5,097","8,294","9,291","17,080","18,921","11,317","6,906","4,590","6,005","3,588","2,793","4,635","5,024","9,695","10,445","20,975","22,751","12,280","7,102","4,690","6,743","3,824","3,123","3,851","7,485","10,023","10,850","32,186","23,813","12,227","6,469","4,497","6,235","3,480","2,994","4,117","6,517","7,653","9,475","23,978","19,171","12,022","6,627","4,248","6,798","3,587","2,846","5,247","5,828","8,309","11,516","27,608","23,666","14,084","7,592","4,956","7,787","3,612","3,546","4,682","8,701","9,113","15,624","30,525","28,655","16,183","8,820","5,658","9,064","4,396","4,122","7,541","8,675","11,541","17,535","37,179","36,155","17,517","10,050","7,181","11,154","4,930","4,363","5,710","11,902","12,139","15,876","39,159","35,415","18,367","10,944","7,245","11,880","5,801","3,857","5,602","9,918","10,505","15,296","35,912","34,019","15,646","8,062","5,119","8,429","4,317","4,150","6,303","6,588","8,780","14,341","29,849","24,111","14,345","8,336","5,795","8,928","5,045","4,306","5,464","9,432","9,116","14,842","30,758","27,715","15,336","8,777","6,088","8,989","4,444","3,938","5,419","7,955","10,268","16,834","32,050","29,350","14,722","7,967","6,074","7,831","4,188","3,789","6,199","7,679","10,561","15,715","33,631","29,873","16,815","9,694","6,907","10,285","5,408","4,811","6,262","10,517","11,963","17,846","35,913","31,281","18,361","11,017","7,530","10,568","5,840","5,941","10,012","11,317","13,148","21,970","46,395","35,024","23,928","15,036","13,306","14,094","7,120","5,928","10,213","9,827","14,886","21,127","39,162","39,408","20,908","11,308","9,182","12,706","5,976","6,168","8,717","12,751","13,999","21,331","37,811","33,016","19,462","11,519","8,398","10,471","5,687","5,333","9,825","10,393","14,864","20,315","36,648","33,733","17,583","10,465","8,936","11,389","6,201","6,500","8,186","13,291","14,037","19,936","38,305","29,525","19,530","11,761","8,795","12,046","7,264","6,160","7,648","12,639","17,151","19,966","43,700","30,367","19,339","11,892","8,661","13,032","7,268","6,105","10,374","11,286","13,686","21,201","46,623","30,475","20,579","13,589","9,677","14,452","7,638","7,636","8,884","12,393","14,098","19,852","38,330","32,584","17,841","12,861","9,146","13,127","6,044","8,459","10,844","13,569","16,740","24,246","44,081","36,293","19,139","13,848","10,140","15,345","8,156","8,828","12,458","12,549","16,592","24,474","47,186","37,609","21,279","13,734","10,244","16,137","8,988","8,873","11,166","17,924","18,528","26,561","53,008","37,154","22,692","15,002","11,692","18,953","9,561","9,930","16,085","16,525","20,716","29,373","60,392","39,719","27,162","18,232","12,833","19,472","10,830","10,535","13,710","24,025","21,503","33,238","61,432","41,585","26,877","17,679","13,384","23,278","11,052","11,512","14,731","25,611","23,624","34,373","63,415","47,242","22,197","16,185","12,032","21,426","10,710","11,322","22,032","17,169","24,084","31,958","69,882","46,512","26,124","19,152","13,412","26,063","13,776","12,900","15,169","22,940","18,483","29,800","51,592","39,273","25,612","17,155","12,904","23,403","11,896","13,328","15,548","25,436","26,081","35,242","65,913","47,920","31,045","21,708","13,495","26,613","12,818","12,877","25,279","20,423","26,995","40,686","71,054","46,233","32,929","20,977","15,563","28,893","16,480","14,735","19,459","30,959","28,211","41,556","69,797","52,318","34,627","23,453","16,985","32,776","17,857","17,174","25,833","29,820","32,817","48,621","75,863","56,696","39,018","25,122","20,231","36,148","21,308","19,749","33,473","28,661","36,784","50,870","82,196","57,408","39,461","27,144","19,393","34,451","20,702","19,050","22,691","36,051","29,017","40,903","59,582","36,008","25,245","16,796","12,486","22,052","13,546","12,933","20,832","23,064","24,563","34,339","50,806","37,706","25,358","18,038","12,711","24,179","14,049","12,361","18,280","26,345","24,403","34,322","52,696","39,497","28,122","18,823","14,103","25,811","14,613","15,426","21,271","26,705","26,017","35,847","54,589","41,353","26,492","18,862","14,648","25,659","15,350","14,197","25,109","24,349","27,489","38,114","53,517","43,386","28,720","19,991","15,846","27,957","17,028","15,935","20,126","30,557","30,386","40,992","59,098","49,866","30,924","23,047","17,475","30,266","18,630","17,525","24,651","30,697","32,597","46,001","68,325","50,766","34,920","24,800","17,607","35,458","21,820","20,223","35,086","31,661","33,007","53,134","75,442","57,128","39,968","28,820","21,253","51,537","29,012","29,486","34,057","56,352","50,462","71,453","98,943","72,517","53,052","37,956","31,678","59,111","31,158","28,771","47,158","35,531","48,162","66,805","92,502","79,817","58,000","46,673","36,150","66,103","40,381","36,565","42,624","71,219","65,381","90,812","115,645","97,037","71,891","57,095","42,122"
